symbol,strategy,signal_date,signal_close,atr,tmqs,rvol,breakout,reason,status
K.TO,MOMENTUM,2026-07-21,33.08000183105469,1.3421431950160436,88.28,1.9550996469650381,STRONG BREAKOUT,Strong breakout with quality volume,PENDING
WPM.TO,MOMENTUM,2026-07-21,155.0800018310547,6.069289071219308,84.31,1.7066041623737893,STRONG BREAKOUT,Strong breakout with quality volume,PENDING
AEM.TO,MOMENTUM,2026-07-21,199.86000061035156,7.545714242117746,82.9,1.618874694721022,STRONG BREAKOUT,Strong breakout with quality volume,PENDING
LUN.TO,MOMENTUM,2026-07-21,36.189998626708984,1.5735713413783483,81.48,1.529791818402525,STRONG BREAKOUT,Strong breakout with quality volume,PENDING
