Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SLF.TO,SLF.TO,SLF.TO,SLF.TO,SLF.TO,SLF.TO
Date,,,,,,
2021-07-08,50.46179962158203,62.400001525878906,62.790000915527344,62.0,62.70000076293945,1232600
2021-07-09,51.1815185546875,63.290000915527344,63.459999084472656,62.75,62.91999816894531,904600
2021-07-12,51.94169235229492,64.2300033569336,64.2699966430664,63.349998474121094,63.5,1500700
2021-07-13,51.54542922973633,63.7400016784668,64.45999908447266,63.47999954223633,64.2699966430664,942200
2021-07-14,51.537349700927734,63.72999954223633,63.790000915527344,63.33000183105469,63.5099983215332,721200
2021-07-15,51.89316177368164,64.16999816894531,64.19000244140625,63.25,63.459999084472656,589600
2021-07-16,51.72333908081055,63.959999084472656,64.4800033569336,63.849998474121094,64.30999755859375,1033200
2021-07-19,51.01169967651367,63.08000183105469,63.540000915527344,62.40999984741211,63.47999954223633,1340400
2021-07-20,51.3109130859375,63.45000076293945,63.869998931884766,62.68000030517578,63.0,1232300
2021-07-21,51.885074615478516,64.16000366210938,64.43000030517578,63.83000183105469,63.83000183105469,810200
2021-07-22,51.71525955200195,63.95000076293945,64.36000061035156,63.5,63.97999954223633,1031500
2021-07-23,51.73950958251953,63.97999954223633,64.63999938964844,63.880001068115234,64.26000213623047,1021200
2021-07-26,51.77995300292969,64.02999877929688,64.13999938964844,63.79999923706055,63.970001220703125,585700
2021-07-27,51.7314338684082,63.970001220703125,64.27999877929688,63.27000045776367,63.68000030517578,654200
2021-07-28,51.71525955200195,63.95000076293945,64.27999877929688,63.470001220703125,64.02999877929688,629300
2021-07-29,52.32176208496094,64.69999694824219,64.80999755859375,64.18000030517578,64.25,947100
2021-07-30,52.54820251464844,64.9800033569336,64.9800033569336,64.43000030517578,64.55999755859375,1052500
2021-08-03,52.459251403808594,64.87000274658203,65.36000061035156,64.63999938964844,64.77999877929688,1450500
2021-08-04,52.60481643676758,65.05000305175781,65.47000122070312,64.58000183105469,64.58000183105469,941200
2021-08-05,52.337947845458984,64.72000122070312,65.16000366210938,64.33999633789062,64.80999755859375,1870100
2021-08-06,52.895938873291016,65.41000366210938,65.75,64.9800033569336,65.0,1356200
2021-08-09,53.122371673583984,65.69000244140625,65.76000213623047,64.83999633789062,65.0999984741211,1156900
2021-08-10,53.41349411010742,66.05000305175781,66.19999694824219,65.55999755859375,65.55999755859375,1366800
2021-08-11,53.78548049926758,66.51000213623047,66.5999984741211,65.91000366210938,66.25,1074700
2021-08-12,53.890602111816406,66.63999938964844,66.66000366210938,66.29000091552734,66.58000183105469,1339800
2021-08-13,53.94721984863281,66.70999908447266,66.73999786376953,66.33999633789062,66.58000183105469,1272100
2021-08-16,53.84209060668945,66.58000183105469,66.83999633789062,66.30000305175781,66.5,1363600
2021-08-17,53.63992691040039,66.33000183105469,66.5999984741211,65.91000366210938,66.23999786376953,6177400
2021-08-18,53.356876373291016,65.9800033569336,66.4000015258789,65.79000091552734,66.27999877929688,6259500
2021-08-19,53.478179931640625,66.12999725341797,66.1500015258789,65.37000274658203,65.54000091552734,5895000
2021-08-20,53.7935676574707,66.5199966430664,66.58999633789062,65.79000091552734,66.12000274658203,5230300
2021-08-23,53.648014068603516,66.33999633789062,67.01000213623047,66.22000122070312,66.69000244140625,3991800
2021-08-24,53.411537170410156,65.5,66.08000183105469,65.26000213623047,65.9000015258789,3105700
2021-08-25,53.32183074951172,65.38999938964844,65.88999938964844,65.33000183105469,65.7300033569336,3338400
2021-08-26,53.12612533569336,65.1500015258789,65.63999938964844,65.06999969482422,65.5199966430664,5654300
2021-08-27,53.566471099853516,65.69000244140625,65.7699966430664,65.08999633789062,65.2699966430664,5157300
2021-08-30,53.15058517456055,65.18000030517578,65.69999694824219,65.12999725341797,65.69999694824219,5891800
2021-08-31,52.97118377685547,64.95999908447266,65.52999877929688,64.9000015258789,65.22000122070312,1286400
2021-09-01,53.02010726928711,65.0199966430664,65.27999877929688,64.58000183105469,64.63999938964844,1881400
2021-09-02,52.930416107177734,64.91000366210938,65.2300033569336,64.69000244140625,65.0,982100
2021-09-03,52.75102615356445,64.69000244140625,64.94000244140625,64.5,64.62999725341797,1049300
2021-09-07,52.767330169677734,64.70999908447266,65.19999694824219,64.66000366210938,64.7699966430664,1606000
2021-09-08,53.54199981689453,65.66000366210938,65.70999908447266,64.5999984741211,64.7300033569336,1567900
2021-09-09,53.44415283203125,65.54000091552734,66.41999816894531,65.43000030517578,65.58999633789062,1624000
