symbol,strategy,decision,reason,price,prior_52_week_high,average_volume,rvol,sma_50,sma_200,breakout
AC.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,22.68000030517578,25.5,2032146,0.69,22.366200103759766,19.746050033569336,False
AEM.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,206.88999938964844,348.94000244140625,952942,1.2,229.9422006225586,254.90470092773438,False
AGI.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,42.97999954223633,75.77999877929688,1361474,0.98,48.80839988708496,53.99875001907348,False
AQN.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,8.399999618530273,9.6899995803833,3043035,0.83,8.207599935531617,8.506249988079071,False
ARX.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,32.439998626708984,32.58000183105469,3258835,1.67,31.07460014343262,27.297250003814696,False
ATD.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,89.2300033569336,95.1500015258789,1620746,0.63,84.79120010375976,78.3200500869751,False
ATH.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,10.90999984741211,12.859999656677246,1604903,1.03,11.090799980163574,9.058800001144409,False
BB.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,12.630000114440918,18.450000762939453,7013359,0.4,12.90479995727539,7.485149986743927,False
BMO.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,252.25999450683594,258.2099914550781,1801947,0.59,235.809599609375,199.24384963989257,False
BNS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,123.36000061035156,126.87000274658203,5065339,0.57,116.84640014648437,103.2313000869751,False
BTE.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,6.059999942779541,7.369999885559082,3857719,1.8,6.269400014877319,5.174599993228912,False
CAE.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,34.15999984741211,47.650001525878906,785747,1.09,35.43540016174316,38.56050003051758,False
CCL-B.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,90.75,95.0,346699,0.81,87.9752003479004,85.5904500579834,False
CLS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,473.0299987792969,655.5,324397,0.92,511.8557971191406,450.18149856567385,False
CM.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,165.99000549316406,171.63999938964844,2630561,0.97,158.94539978027345,136.67779998779298,False
CNQ.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,64.44999694824219,70.98999786376953,15173821,0.36,61.6526001739502,55.20100004196167,False
CNR.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,180.22000122070312,181.8000030517578,1201465,0.66,166.39579986572267,146.72959983825683,False
CP.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,128.5399932861328,131.88999938964844,1285721,0.6,123.74419906616211,111.12334968566894,False
CSU.TO,52_WEEK_BREAKOUT,IGNORE,Average volume too low,2603.1298828125,5015.0,55011,1.27,2777.8886083984376,2918.5709008789063,False
CVE.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,40.86000061035156,44.130001068115234,4971336,0.79,38.52159996032715,31.07909996032715,False
DOL.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,184.88999938964844,209.9600067138672,641498,0.93,182.74599975585937,187.0668500518799,False
DSG.TO,52_WEEK_BREAKOUT,IGNORE,Average volume too low,96.01000213623047,150.74000549316406,281436,1.19,100.20920013427734,107.69374988555909,False
EMA.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,76.51000213623047,77.80000305175781,1000309,1.13,73.76759979248047,70.26474990844727,False
EMP-A.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,49.77000045776367,58.31999969482422,570966,0.47,48.866200103759766,48.53410009384155,False
ENB.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,79.29000091552734,80.6500015258789,4042349,1.03,77.87640075683593,71.32065050125122,False
EQB.TO,52_WEEK_BREAKOUT,IGNORE,Average volume too low,140.1300048828125,150.32000732421875,97577,0.97,125.43839981079101,109.79134983062744,False
FM.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,39.20000076293945,46.36000061035156,2841553,0.99,39.53500007629395,35.84275004386902,False
FTS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,82.13999938964844,82.87000274658203,1012842,1.47,79.28300018310547,75.48920013427734,False
GIB-A.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,92.4000015258789,142.47999572753906,510478,0.76,92.22539978027343,108.27414981842041,False
HIVE.TO,52_WEEK_BREAKOUT,IGNORE,Price below minimum,4.5,10.960000038146973,2831725,0.62,5.209800024032592,4.587850012779236,False
IFC.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,289.239990234375,310.8399963378906,382458,0.67,280.8203985595703,269.2649493408203,False
IMO.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,177.0500030517578,191.75999450683594,584785,1.23,170.42320037841796,152.78075004577636,False
K.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,34.150001525878906,53.56999969482422,3156682,1.22,36.87460018157959,40.13020008087158,False
LUN.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,37.45000076293945,45.7400016784668,2241366,1.13,37.26440032958985,32.70855003356934,False
MFC.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,60.66999816894531,61.18000030517578,4035313,0.42,56.052200088500975,50.838850021362305,False
MRU.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,92.29000091552734,107.77999877929688,503242,0.83,91.09459945678711,94.57564971923829,False
