symbol,strategy,decision,reason,price,prior_52_week_high,average_volume,rvol,sma_50,sma_200,breakout
CNR.TO,52_WEEK_BREAKOUT,WATCH,52-week breakout but relative volume is too low,180.94000244140625,180.1699981689453,1387705,1.1,164.76539978027344,146.011199798584,True
CP.TO,52_WEEK_BREAKOUT,WATCH,52-week breakout but relative volume is too low,131.33999633789062,130.97999572753906,1437477,0.73,122.98959930419922,110.74804973602295,True
EMA.TO,52_WEEK_BREAKOUT,WATCH,52-week breakout but relative volume is too low,77.18000030517578,76.91999816894531,985354,0.89,73.4763996887207,70.12024990081787,True
AC.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,22.579999923706055,25.5,2450297,0.55,22.19260013580322,19.671900033950806,False
AEM.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,191.92999267578125,348.94000244140625,1088179,0.64,233.87840087890626,255.51955093383788,False
AGI.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,39.59000015258789,75.77999877929688,1784463,0.33,49.8807999420166,54.12170000076294,False
AQN.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,8.170000076293945,9.6899995803833,2941398,0.84,8.228799962997437,8.501149990558623,False
ARX.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,32.27000045776367,32.58000183105469,3315606,0.82,30.988200111389162,27.199299993515016,False
ATD.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,91.01000213623047,95.1500015258789,1915751,0.52,84.11759994506836,78.07880004882813,False
ATH.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,10.760000228881836,12.859999656677246,1504886,0.59,11.13299997329712,8.998150000572204,False
BB.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,12.600000381469727,18.450000762939453,7362267,4.2,12.657199954986572,7.397199985980987,False
BMO.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,255.14999389648438,258.0799865722656,2039387,1.22,233.2381997680664,198.18114974975586,False
BNS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,125.27999877929688,126.87000274658203,5332652,0.57,115.81779998779297,102.73060009002685,False
BTE.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,5.880000114440918,7.369999885559082,4149900,1.39,6.315400009155273,5.134299993515015,False
CAE.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,34.59000015258789,47.650001525878906,799299,0.82,35.57640022277832,38.64975004196167,False
CCL-B.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,91.19999694824219,95.0,375097,0.63,87.61280029296876,85.4083000946045,False
CLS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,421.82000732421875,655.5,332758,0.98,517.2457971191407,448.7338986206055,False
CM.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,169.94000244140625,170.17999267578125,2829470,0.84,158.0116000366211,135.85209995269776,False
CNQ.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,61.41999816894531,70.98999786376953,17767089,0.54,61.60260009765625,54.931350021362306,False
CSU.TO,52_WEEK_BREAKOUT,IGNORE,Average volume too low,2800.760009765625,5060.7001953125,56125,0.98,2763.8480078125,2934.9323010253906,False
CVE.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,39.20000076293945,44.130001068115234,5206717,0.92,38.47319999694824,30.8325999546051,False
DOL.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,190.8699951171875,209.9600067138672,689321,0.94,181.83919982910157,186.9643000793457,False
DSG.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,103.86000061035156,150.74000549316406,313080,0.68,99.9868002319336,108.09374988555908,False
EMP-A.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,48.95000076293945,58.31999969482422,589357,0.68,48.65480010986328,48.52995008468628,False
ENB.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,79.41999816894531,80.6500015258789,4008263,0.81,77.57640090942382,71.1841505241394,False
EQB.TO,52_WEEK_BREAKOUT,IGNORE,Average volume too low,142.64999389648438,150.32000732421875,97954,1.95,124.21620010375976,109.07264991760253,False
FM.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,36.790000915527344,46.36000061035156,2985484,0.79,39.28120002746582,35.74705002784729,False
FTS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,82.41999816894531,82.66999816894531,1036325,1.5,78.96960021972656,75.31615013122558,False
GIB-A.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,95.38999938964844,142.47999572753906,597695,0.67,92.06179977416993,108.72304985046387,False
HIVE.TO,52_WEEK_BREAKOUT,IGNORE,Price below minimum,3.990000009536743,10.960000038146973,3685643,0.57,5.187600016593933,4.61070001244545,False
IFC.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,294.0199890136719,310.8399963378906,425235,0.44,278.3663986206055,268.89709930419923,False
IMO.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,171.88999938964844,191.75999450683594,593556,0.72,170.42060028076173,152.06340007781984,False
K.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,31.670000076293945,53.56999969482422,3307684,0.65,37.481400146484376,40.17215008735657,False
LUN.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,33.15999984741211,45.7400016784668,2338401,0.62,37.386400299072264,32.50130003929138,False
MFC.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,60.7400016784668,60.880001068115234,4622752,0.95,55.69920013427734,50.58955001831055,False
MRU.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,94.0199966430664,107.77999877929688,530928,0.31,90.85339950561523,94.58194972991943,False
NA.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,234.05999755859375,237.1300048828125,1352380,1.26,214.41179901123047,183.73379943847655,False
NTR.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,94.2300033569336,116.94999694824219,1980335,0.6,93.55139999389648,92.06865016937256,False
PAAS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,58.540000915527344,95.38999938964844,792630,0.75,70.47199989318848,69.81400016784669,False
PEY.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,24.25,29.219999313354492,659052,1.02,25.02520015716553,23.96975001335144,False
PPL.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,71.80999755859375,71.83999633789062,2212260,1.26,66.7070002746582,59.13985004425049,False
RY.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,302.1300048828125,306.3800048828125,3391273,0.78,275.1441995239258,237.04539993286133,False
SHOP.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,173.22999572753906,253.10000610351562,2037118,0.78,156.46940002441406,186.91799995422363,False
SLF.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,114.73999786376953,115.12999725341797,1263353,0.86,105.37340026855469,91.75750019073486,False
STN.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,97.37999725341797,160.0500030517578,535980,0.81,102.7602001953125,126.41854972839356,False
SU.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,87.52999877929688,96.52999877929688,4818351,0.77,85.3982000732422,74.40200023651123,False
TD.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,173.30999755859375,175.3300018310547,7142888,0.48,161.3281997680664,135.32629974365236,False
TECK-B.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,77.20999908447266,98.57499694824219,1113138,0.99,87.22600036621094,73.24384998321533,False
TFII.TO,52_WEEK_BREAKOUT,IGNORE,Average volume too low,218.5800018310547,233.85000610351562,227621,0.59,206.73619903564452,161.96080028533936,False
TOU.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,62.4900016784668,70.56999969482422,2627662,0.57,63.051600036621096,62.58884996414184,False
TRP.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,97.79000091552734,100.18000030517578,5327252,0.41,95.25300003051758,83.58254997253418,False
WCN.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,240.97000122070312,264.5799865722656,427956,0.86,222.16559967041016,230.2910996246338,False
WPM.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,145.9600067138672,226.67999267578125,789503,0.59,170.01740020751953,172.03380020141603,False
